p (bar);Tsat (C);T (C);v (m3/kg);u (kJ/kg);h (kJ/kg);s (kJ/kg.K)
0,06;36,16;Sat.;23,739;2425,000;2567,400;8,330
0,06;36,16;80;27,132;2487,300;2650,100;8,580
0,06;36,16;120;30,219;2544,700;2726,000;8,784
0,06;36,16;160;33,302;2602,700;2802,500;8,969
0,06;36,16;200;36,383;2661,400;2879,700;9,140
0,06;36,16;240;39,462;2721,000;2957,800;9,298
0,06;36,16;280;42,540;2781,500;3036,800;9,446
0,06;36,16;320;45,618;2843,000;3116,700;9,586
0,06;36,16;360;48,696;2905,500;3197,700;9,718
0,06;36,16;400;51,774;2969,000;3279,600;9,844
0,06;36,16;440;54,851;3033,500;3362,600;9,963
0,06;36,16;500;59,467;3132,300;3489,100;10,134
;;;;;;
0,35;72,69;Sat.;4,526;2473,000;2631,400;7,716
0,35;72,69;80;4,625;2483,700;2645,600;7,756
0,35;72,69;120;5,163;2542,400;2723,100;7,964
0,35;72,69;160;5,696;2601,200;2800,600;8,152
0,35;72,69;200;6,228;2660,400;2878,400;8,324
0,35;72,69;240;6,758;2720,300;2956,800;8,483
0,35;72,69;280;7,287;2780,900;3036,000;8,631
0,35;72,69;320;7,815;2842,500;3116,100;8,771
0,35;72,69;360;8,344;2905,100;3197,100;8,903
0,35;72,69;400;8,872;2968,600;3279,200;9,029
0,35;72,69;440;9,400;3033,200;3362,200;9,149
0,35;72,69;500;10,192;3132,100;3488,800;9,319
;;;;;;
0,70;89,95;Sat.;2,365;2494,500;2660,000;7,480
0,70;89,95;100;2,434;2509,700;2680,000;7,534
0,70;89,95;120;2,571;2539,700;2719,600;7,638
0,70;89,95;160;2,841;2599,400;2798,200;7,828
0,70;89,95;200;3,108;2659,100;2876,700;8,001
0,70;89,95;240;3,374;2719,300;2955,500;8,161
0,70;89,95;280;3,640;2780,200;3035,000;8,316
0,70;89,95;320;3,905;2842,000;3115,300;8,450
0,70;89,95;360;4,170;2904,600;3196,500;8,583
0,70;89,95;400;4,434;2968,200;3278,600;8,709
0,70;89,95;440;4,698;3032,900;3361,800;8,829
0,70;89,95;500;5,095;3131,800;3488,500;8,999
;;;;;;
1,00;99,63;Sat.;1,694;2506,100;2675,500;7,359
1,00;99,63;100;1,696;2506,700;2676,200;7,361
1,00;99,63;120;1,793;2537,300;2716,600;7,467
1,00;99,63;160;1,984;2597,800;2796,200;7,660
1,00;99,63;200;2,172;2658,100;2875,300;7,834
1,00;99,63;240;2,359;2718,500;2954,500;7,995
1,00;99,63;280;2,546;2779,600;3034,200;8,145
1,00;99,63;320;2,732;2841,500;3114,600;8,285
1,00;99,63;360;2,917;2904,200;3195,900;8,418
1,00;99,63;400;3,103;2967,900;3278,200;8,544
1,00;99,63;440;3,288;3032,600;3361,400;8,664
1,00;99,63;500;3,565;3131,600;3488,100;8,834
;;;;;;
1,50;111,37;Sat.;1,159;2519,700;2693,600;7,223
1,50;111,37;120;1,188;2533,300;2711,400;7,269
1,50;111,37;160;1,317;2595,200;2792,800;7,467
1,50;111,37;200;1,444;2656,200;2872,900;7,643
1,50;111,37;240;1,570;2717,200;2952,700;7,805
1,50;111,37;280;1,695;2778,600;3032,800;7,956
1,50;111,37;320;1,819;2840,600;3113,500;8,096
1,50;111,37;360;1,943;2903,500;3195,000;8,229
1,50;111,37;400;2,067;2967,300;3277,400;8,356
1,50;111,37;440;2,191;3032,100;3360,700;8,476
1,50;111,37;500;2,376;3131,200;3487,600;8,647
1,50;111,37;600;2,685;3301,700;3704,300;8,910
;;;;;;
3,00;133,55;Sat.;0,606;2543,600;2725,300;6,992
3,00;133,55;160;0,651;2587,100;2782,300;7,128
3,00;133,55;200;0,716;2650,700;2865,500;7,312
3,00;133,55;240;0,781;2713,100;2947,300;7,477
3,00;133,55;280;0,844;2775,400;3028,600;7,630
3,00;133,55;320;0,907;2838,100;3110,100;7,772
3,00;133,55;360;0,969;2901,400;3192,200;7,906
3,00;133,55;400;1,032;2965,600;3275,000;8,033
3,00;133,55;440;1,094;3030,600;3358,700;8,154
3,00;133,55;500;1,187;3130,000;3486,000;8,325
3,00;133,55;600;1,341;3300,800;3703,200;8,589
;;;;;;
5,00;151,86;Sat.;0,375;2561,200;2748,700;6,821
5,00;151,86;180;0,405;2609,700;2812,000;6,966
5,00;151,86;200;0,425;2642,900;2855,400;7,059
5,00;151,86;240;0,465;2707,600;2939,900;7,231
5,00;151,86;280;0,503;2771,200;3022,900;7,387
5,00;151,86;320;0,542;2834,700;3105,600;7,531
5,00;151,86;360;0,580;2898,700;3188,400;7,666
5,00;151,86;400;0,617;2963,200;3271,900;7,794
5,00;151,86;440;0,655;3028,600;3356,000;7,915
5,00;151,86;500;0,711;3128,400;3483,900;8,087
5,00;151,86;600;0,804;3299,600;3701,700;8,352
5,00;151,86;700;0,897;3477,500;3925,900;8,595
;;;;;;
7,00;164,97;Sat.;0,273;2572,500;2763,500;6,708
7,00;164,97;180;0,285;2599,800;2799,100;6,788
7,00;164,97;200;0,300;2634,800;2844,800;6,887
7,00;164,97;240;0,329;2701,800;2932,200;7,064
7,00;164,97;280;0,357;2766,900;3017,100;7,223
7,00;164,97;320;0,385;2831,300;3100,900;7,370
7,00;164,97;360;0,413;2895,800;3184,700;7,506
7,00;164,97;400;0,440;2960,900;3268,700;7,635
7,00;164,97;440;0,467;3026,600;3353,300;7,757
7,00;164,97;500;0,507;3126,800;3481,700;7,930
7,00;164,97;600;0,574;3298,500;3700,200;8,196
7,00;164,97;700;0,640;3476,600;3924,800;8,439
;;;;;;
10,00;179,91;Sat.;0,194;2583,600;2778,100;6,587
10,00;179,91;200;0,206;2621,900;2827,900;6,694
10,00;179,91;240;0,228;2692,900;2920,400;6,882
10,00;179,91;280;0,248;2760,200;3008,200;7,047
10,00;179,91;320;0,268;2826,100;3093,900;7,196
10,00;179,91;360;0,287;2891,600;3178,900;7,335
10,00;179,91;400;0,307;2957,300;3263,900;7,465
10,00;179,91;440;0,326;3023,600;3349,300;7,588
10,00;179,91;500;0,354;3124,400;3478,500;7,762
10,00;179,91;540;0,373;3192,600;3565,600;7,872
10,00;179,91;600;0,401;3296,800;3697,900;8,029
10,00;179,91;640;0,420;3367,400;3787,200;8,129
;;;;;;
15,00;198,32;Sat.;0,132;2594,500;2792,200;6,445
15,00;198,32;200;0,133;2598,100;2796,800;6,455
15,00;198,32;240;0,148;2676,900;2899,300;6,663
15,00;198,32;280;0,163;2748,600;2992,700;6,838
15,00;198,32;320;0,177;2817,100;3081,900;6,994
15,00;198,32;360;0,190;2884,400;3169,200;7,136
15,00;198,32;400;0,203;2951,300;3255,800;7,269
15,00;198,32;440;0,216;3018,500;3342,500;7,394
15,00;198,32;500;0,235;3120,300;3473,100;7,570
15,00;198,32;540;0,248;3189,100;3560,900;7,681
15,00;198,32;600;0,267;3293,900;3694,000;7,839
15,00;198,32;640;0,279;3364,800;3783,800;7,939
;;;;;;
20,00;212,42;Sat.;0,100;2600,300;2799,500;6,341
20,00;212,42;240;0,109;2659,600;2876,500;6,495
20,00;212,42;280;0,120;2736,400;2976,400;6,683
20,00;212,42;320;0,131;2807,900;3069,500;6,845
20,00;212,42;360;0,141;2877,000;3159,300;6,992
20,00;212,42;400;0,151;2945,200;3247,600;7,127
20,00;212,42;440;0,161;3013,400;3335,500;7,254
20,00;212,42;500;0,176;3116,200;3467,600;7,432
20,00;212,42;540;0,185;3185,600;3556,100;7,543
20,00;212,42;600;0,200;3290,900;3690,100;7,702
20,00;212,42;640;0,209;3362,200;3780,400;7,804
20,00;212,42;700;0,223;3470,900;3917,400;7,949
;;;;;;
30,00;233,9;Sat.;0,067;2604,100;2804,200;6,187
30,00;233,9;240;0,068;2619,700;2824,300;6,227
30,00;233,9;280;0,077;2709,900;2941,300;6,446
30,00;233,9;320;0,085;2788,400;3043,400;6,625
30,00;233,9;360;0,092;2861,700;3138,700;6,780
30,00;233,9;400;0,099;2932,800;3230,900;6,921
30,00;233,9;440;0,106;3002,900;3321,500;7,052
30,00;233,9;500;0,116;3108,000;3456,500;7,234
30,00;233,9;540;0,123;3178,400;3546,600;7,347
30,00;233,9;600;0,132;3285,000;3682,300;7,509
30,00;233,9;640;0,139;3357,000;3773,500;7,611
30,00;233,9;700;0,148;3466,500;3911,700;7,757
;;;;;;
40,00;250,4;Sat.;0,050;2602,300;2801,400;6,070
40,00;250,4;280;0,055;2680,000;2901,800;6,257
40,00;250,4;320;0,062;2767,400;3015,400;6,455
40,00;250,4;360;0,068;2845,700;3117,200;6,622
40,00;250,4;400;0,073;2919,900;3213,600;6,769
40,00;250,4;440;0,079;2992,200;3307,100;6,904
40,00;250,4;500;0,086;3099,500;3445,300;7,090
40,00;250,4;540;0,091;3171,100;3536,900;7,206
40,00;250,4;600;0,099;3279,100;3674,400;7,369
40,00;250,4;640;0,104;3351,800;3766,600;7,472
40,00;250,4;700;0,111;3462,100;3905,900;7,620
