p (bar); Tsat (C); T (C); v (m3/kg); u (kJ/kg); h (kJ/kg); s (kJ/kg.K)
25;223,99;20;1,0006;83,8000;86,3000;0,2961
25;223,99;40;1,0067;167,2500;169,7700;0,5715
25;223,99;80;1,0280;334,2900;336,8600;1,0737
25;223,99;100;1,0423;418,2400;420,8500;1,3050
25;223,99;140;1,0784;587,8200;590,5200;1,7369
25;223,99;180;1,1261;761,1600;763,9700;2,1375
25;223,99;200;1,1555;849,9000;852,8000;2,3294
25;223,99;220;1,1898;940,7000;943,7000;2,5174
25;223,99;Sat.;1,1973;959,1000;962,1000;2,5546
;;;;;;
50;263,99;20;0,9995;83,6500;88,6500;0,2956
50;263,99;40;1,0056;166,9500;171,9700;0,5705
50;263,99;80;1,0268;333,7200;338,8500;1,0720
50;263,99;100;1,0410;417,5200;422,7200;1,3030
50;263,99;140;1,0768;586,7600;592,1500;1,7343
50;263,99;180;1,1240;759,6300;765,2500;2,1341
50;263,99;200;1,1530;848,1000;853,9000;2,3255
50;263,99;220;1,1866;938,4000;944,4000;2,5128
50;263,99;Sat.;1,2859;1147,8000;1154,2000;2,9202
;;;;;;
75;290,59;20;0,9984;83,5000;90,9900;0,2950
75;290,59;40;1,0045;166,6400;174,1800;0,5696
75;290,59;80;1,0256;333,1500;340,8400;1,0704
75;290,59;100;1,0397;416,8100;424,6200;1,3011
75;290,59;140;1,0752;585,7200;593,7800;1,7317
75;290,59;180;1,1219;758,1300;766,5500;2,1308
75;290,59;200;1,1506;846,4000;855,0000;2,3217
75;290,59;220;1,1835;936,2000;945,1000;2,5083
75;290,59;260;1,2696;1124,4000;1134,0000;2,8763
75;290,59;Sat.;1,3677;1282,0000;1292,2000;3,1649
;;;;;;
100;311,06;20;0,9972;83,3600;93,3300;0,2945
100;311,06;40;1,0034;166,3500;176,3800;0,5686
100;311,06;80;1,0245;332,5900;342,8300;1,0688
100;311,06;100;1,0385;416,1200;426,5000;1,2992
100;311,06;140;1,0737;584,6800;595,4200;1,7292
100;311,06;180;1,1199;756,6500;767,8400;2,1275
100;311,06;200;1,1482;844,7000;856,2000;2,3178
100;311,06;220;1,1805;934,1000;945,9000;2,5039
100;311,06;260;1,2645;1121,1000;1133,7000;2,8699
100;311,06;Sat.;1,4524;1393,0000;1407,6000;3,3596
;;;;;;
150;342,24;20;0,9950;83,0600;97,9900;0,2934
150;342,24;40;1,0013;165,7600;180,7800;0,5666
150;342,24;80;1,0222;331,4800;346,8100;1,0656
150;342,24;100;1,0361;414,7400;430,2800;1,2955
150;342,24;140;1,0707;582,6600;598,7200;1,7242
150;342,24;180;1,1159;753,7600;770,5000;2,1210
150;342,24;220;1,1748;929,9000;947,5000;2,4953
150;342,24;260;1,2550;1114,6000;1133,4000;2,8576
150;342,24;300;1,3770;1316,6000;1337,3000;3,2260
150;342,24;Sat.;1,6581;1585,6000;1610,5000;3,6848
;;;;;;
200;365,81;20;0,9928;82,7700;102,6200;0,2923
200;365,81;40;0,9992;165,1700;185,1600;0,5646
200;365,81;80;1,0199;330,4000;350,8000;1,0624
200;365,81;100;1,0337;413,3900;434,0600;1,2917
200;365,81;140;1,0678;580,6900;602,0400;1,7193
200;365,81;180;1,1120;750,9500;773,2000;2,1147
200;365,81;220;1,1693;925,9000;949,3000;2,4870
200;365,81;260;1,2462;1108,6000;1133,5000;2,8459
200;365,81;300;1,3596;1306,1000;1333,3000;3,2071
200;365,81;Sat.;2,0360;1785,6000;1826,3000;4,0139
;;;;;;
250;-;20;0,9907;82,4700;107,2400;0,2911
250;-;40;0,9971;164,6000;189,5200;0,5626
250;-;100;1,0313;412,0800;437,8500;1,2881
250;-;200;1,1344;834,5000;862,8000;2,2961
250;-;300;1,3442;1296,6000;1330,2000;3,1900
;;;;;;
300;-;20;0,9886;82,1700;111,8400;0,2899
300;-;40;0,9951;164,0400;193,8900;0,5607
300;-;100;1,0290;410,7800;441,6600;1,2844
300;-;200;1,1302;831,4000;865,3000;2,2893
300;-;300;1,3304;1287,9000;1327,8000;3,1741
